,Sex,Age,Debt,Years employed,Prior default,Employed,Credit score,Drivers Licence,Income,Approved,Married__l,Married__u,Married__y,Bank Costumer__g,Bank Costumer__gg,Bank Costumer__p,Citizen__g,Citizen__p,Citizen__s
47,1,31.92,4.46,6.04,1,1,3.0,0,300.0,1,0,1,0,1,0,0,1,0,0
48,1,41.5,1.54,3.5,0,0,0.0,0,0.0,1,0,1,0,1,0,0,1,0,0
49,1,23.92,0.665,0.165,0,0,0.0,0,0.0,1,0,1,0,1,0,0,1,0,0
50,0,25.75,0.5,0.875,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
51,1,26.0,1.0,1.75,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
52,1,37.42,2.04,0.04,1,0,0.0,1,5800.0,1,0,1,0,1,0,0,1,0,0
53,1,34.92,2.5,0.0,1,0,0.0,1,200.0,1,0,1,0,1,0,0,1,0,0
54,1,34.25,3.0,7.415,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
55,1,23.33,11.625,0.835,1,0,0.0,1,300.0,1,0,0,1,0,0,1,1,0,0
56,1,23.17,0.0,0.085,1,0,0.0,0,0.0,1,0,1,0,1,0,0,1,0,0
57,1,44.33,0.5,5.0,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
58,1,35.17,4.5,5.75,0,0,0.0,1,0.0,1,0,1,0,1,0,0,0,0,1
59,1,43.25,3.0,6.0,1,1,11.0,0,0.0,1,0,1,0,1,0,0,1,0,0
60,1,56.75,12.25,1.25,1,1,4.0,1,0.0,1,0,1,0,1,0,0,1,0,0
61,1,31.67,16.165,3.0,1,1,9.0,0,730.0,1,0,1,0,1,0,0,1,0,0
62,0,23.42,0.79,1.5,1,1,2.0,1,400.0,1,0,0,1,0,0,1,1,0,0
63,0,20.42,0.835,1.585,1,1,1.0,0,0.0,1,0,1,0,1,0,0,1,0,0
64,1,26.67,4.25,4.29,1,1,1.0,1,0.0,1,0,1,0,1,0,0,1,0,0
65,1,34.17,1.54,1.54,1,1,1.0,1,50000.0,1,0,1,0,1,0,0,1,0,0
66,0,36.0,1.0,2.0,1,1,11.0,0,456.0,1,0,1,0,1,0,0,1,0,0
67,1,25.5,0.375,0.25,1,1,3.0,0,15108.0,1,0,1,0,1,0,0,1,0,0
68,1,19.42,6.5,1.46,1,1,7.0,0,2954.0,1,0,1,0,1,0,0,1,0,0
69,1,35.17,25.125,1.625,1,1,1.0,1,500.0,1,0,1,0,1,0,0,1,0,0
70,1,32.33,7.5,1.585,1,0,0.0,1,0.0,0,0,1,0,1,0,0,0,0,1
71,1,34.83,4.0,12.5,1,0,0.0,1,0.0,0,0,1,0,1,0,0,1,0,0
72,0,38.58,5.0,13.5,1,0,0.0,1,0.0,0,0,1,0,1,0,0,1,0,0
73,1,44.25,0.5,10.75,1,0,0.0,0,0.0,0,0,1,0,1,0,0,0,0,1
74,1,44.83,7.0,1.625,0,0,0.0,0,2.0,0,0,0,1,0,0,1,1,0,0
75,1,20.67,5.29,0.375,1,1,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0
76,1,34.08,6.5,0.125,1,0,0.0,1,0.0,0,0,1,0,1,0,0,1,0,0
77,0,19.17,0.585,0.585,1,0,0.0,1,0.0,0,0,0,1,0,0,1,1,0,0
78,1,21.67,1.165,2.5,1,1,1.0,0,20.0,0,0,0,1,0,0,1,1,0,0
79,1,21.5,9.75,0.25,1,0,0.0,0,0.0,0,0,1,0,1,0,0,1,0,0
80,1,49.58,19.0,0.0,1,1,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0
81,0,27.67,1.5,2.0,1,0,0.0,0,0.0,0,0,1,0,1,0,0,0,0,1
82,1,39.83,0.5,0.25,1,0,0.0,0,0.0,0,0,1,0,1,0,0,0,0,1
83,0,32.68499807847455,3.5,3.0,1,0,0.0,1,0.0,0,0,1,0,1,0,0,1,0,0
84,1,27.25,0.625,0.455,1,0,0.0,1,0.0,0,0,1,0,1,0,0,1,0,0
85,1,37.17,4.0,5.0,1,0,0.0,1,0.0,0,0,1,0,1,0,0,0,0,1
86,1,29.683816529523785,0.375,0.875,1,0,0.0,1,0.0,0,0,1,0,1,0,0,0,0,1
87,1,25.67,2.21,4.0,1,0,0.0,0,0.0,0,0,0,1,0,0,1,1,0,0
88,1,34.0,4.5,1.0,1,0,0.0,1,0.0,0,0,1,0,1,0,0,1,0,0
89,0,49.0,1.5,0.0,1,0,0.0,1,27.0,0,0,1,0,1,0,0,1,0,0
90,1,62.5,12.75,5.0,1,0,0.0,0,0.0,0,0,0,1,0,0,1,1,0,0
91,1,31.42,15.5,0.5,1,0,0.0,0,0.0,0,0,1,0,1,0,0,1,0,0
92,1,40.452762087523595,5.0,8.5,1,0,0.0,0,0.0,0,0,0,1,0,0,1,1,0,0
93,1,52.33,1.375,9.46,1,0,0.0,1,100.0,0,0,0,1,0,0,1,1,0,0
94,1,28.75,1.5,1.5,1,0,0.0,1,225.0,0,0,0,1,0,0,1,1,0,0
95,0,28.58,3.54,0.5,1,0,0.0,1,0.0,0,0,1,0,1,0,0,1,0,0
96,1,23.0,0.625,0.125,1,0,0.0,0,1.0,0,0,0,1,0,0,1,1,0,0
97,1,29.627323700367064,0.5,0.835,1,0,0.0,1,0.0,0,0,1,0,1,0,0,0,0,1
98,0,22.5,11.0,3.0,1,0,0.0,1,0.0,0,0,0,1,0,0,1,1,0,0
99,0,28.5,1.0,1.0,1,1,2.0,1,500.0,0,0,1,0,1,0,0,1,0,0
100,1,37.5,1.75,0.25,1,0,0.0,1,400.0,0,0,0,1,0,0,1,1,0,0
101,1,35.25,16.5,4.0,1,0,0.0,0,0.0,0,0,0,1,0,0,1,1,0,0
102,1,18.67,5.0,0.375,1,1,2.0,0,38.0,0,0,1,0,1,0,0,1,0,0
103,1,25.0,12.0,2.25,1,1,2.0,1,5.0,0,0,1,0,1,0,0,1,0,0
104,1,27.83,4.0,5.75,1,1,2.0,1,0.0,0,0,0,1,0,0,1,1,0,0
105,1,54.83,15.5,0.0,1,1,20.0,0,130.0,0,0,1,0,1,0,0,1,0,0
106,1,28.75,1.165,0.5,1,0,0.0,0,0.0,0,0,1,0,1,0,0,0,0,1
107,0,25.0,11.0,4.5,1,0,0.0,0,0.0,0,0,0,1,0,0,1,1,0,0
108,1,40.92,2.25,10.0,1,0,0.0,1,0.0,0,0,0,1,0,0,1,1,0,0
109,0,19.75,0.75,0.795,1,1,5.0,1,5.0,0,0,1,0,1,0,0,1,0,0
110,1,29.17,3.5,3.5,1,1,3.0,1,0.0,0,0,1,0,1,0,0,1,0,0
111,0,24.5,1.04,0.5,1,1,3.0,0,147.0,0,0,0,1,0,0,1,1,0,0
112,1,24.58,12.5,0.875,1,0,0.0,1,0.0,0,0,1,0,1,0,0,1,0,0
113,0,33.75,0.75,1.0,1,1,3.0,1,0.0,0,0,1,0,1,0,0,1,0,0
114,1,20.67,1.25,1.375,1,1,3.0,1,210.0,0,0,0,1,0,0,1,1,0,0
115,0,25.42,1.125,1.29,1,1,2.0,0,0.0,0,0,1,0,1,0,0,1,0,0
116,1,37.75,7.0,11.5,1,1,7.0,1,5.0,0,0,1,0,1,0,0,1,0,0
117,1,52.5,6.5,6.29,1,1,15.0,0,11202.0,1,0,1,0,1,0,0,1,0,0
118,1,57.83,7.04,14.0,1,1,6.0,1,1332.0,1,0,1,0,1,0,0,1,0,0
119,0,20.75,10.335,0.335,1,1,1.0,1,50.0,1,0,1,0,1,0,0,1,0,0
120,1,39.92,6.21,0.04,1,1,1.0,0,300.0,1,0,1,0,1,0,0,1,0,0
121,1,25.67,12.5,1.21,1,1,67.0,1,258.0,1,0,1,0,1,0,0,1,0,0
122,0,24.75,12.5,1.5,1,1,12.0,1,567.0,1,0,1,0,1,0,0,1,0,0
123,0,44.17,6.665,7.375,1,1,3.0,1,0.0,1,0,1,0,1,0,0,1,0,0
124,0,23.5,9.0,8.5,1,1,5.0,1,0.0,1,0,1,0,1,0,0,1,0,0
125,1,34.92,5.0,7.5,1,1,6.0,1,1000.0,1,0,1,0,1,0,0,1,0,0
126,1,47.67,2.5,2.5,1,1,12.0,1,2510.0,1,0,1,0,1,0,0,1,0,0
127,1,22.75,11.0,2.5,1,1,7.0,1,809.0,1,0,1,0,1,0,0,1,0,0
128,1,34.42,4.25,3.25,1,1,2.0,0,610.0,1,0,1,0,1,0,0,1,0,0
129,0,28.42,3.5,0.835,1,0,0.0,0,0.0,1,0,1,0,1,0,0,0,0,1
130,1,67.75,5.5,13.0,1,1,1.0,1,0.0,1,0,1,0,1,0,0,1,0,0
131,1,20.42,1.835,2.25,1,1,1.0,0,150.0,1,0,1,0,1,0,0,1,0,0
132,0,47.42,8.0,6.5,1,1,6.0,0,51100.0,1,0,1,0,1,0,0,1,0,0
133,1,36.25,5.0,2.5,1,1,6.0,0,367.0,1,0,1,0,1,0,0,1,0,0
134,1,32.67,5.5,5.5,1,1,12.0,1,1000.0,1,0,1,0,1,0,0,1,0,0
135,1,48.58,6.5,6.0,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
136,1,39.92,0.54,0.5,1,1,3.0,0,1000.0,1,0,0,1,0,0,1,1,0,0
137,1,33.58,2.75,4.25,1,1,6.0,0,0.0,1,0,1,0,1,0,0,1,0,0
138,0,18.83,9.5,1.625,1,1,6.0,1,600.0,1,0,1,0,1,0,0,1,0,0
139,0,26.92,13.5,5.0,1,1,2.0,0,5000.0,1,0,1,0,1,0,0,1,0,0
140,0,31.25,3.75,0.625,1,1,9.0,1,0.0,1,0,1,0,1,0,0,1,0,0
141,0,56.5,16.0,0.0,1,1,15.0,0,247.0,1,0,1,0,1,0,0,1,0,0
142,1,43.0,0.29,1.75,1,1,8.0,0,375.0,1,0,0,1,0,0,1,1,0,0
143,1,22.33,11.0,2.0,1,1,1.0,0,278.0,1,0,1,0,1,0,0,1,0,0
144,1,27.25,1.665,5.085,1,1,9.0,0,827.0,1,0,1,0,1,0,0,1,0,0
145,1,32.83,2.5,2.75,1,1,6.0,0,2072.0,1,0,1,0,1,0,0,1,0,0
146,1,23.25,1.5,2.375,1,1,3.0,1,582.0,1,0,1,0,1,0,0,1,0,0
147,0,40.33,7.54,8.0,1,1,14.0,0,2300.0,1,0,0,1,0,0,1,1,0,0
148,0,30.5,6.5,4.0,1,1,7.0,1,3065.0,1,0,1,0,1,0,0,1,0,0
149,0,52.83,15.0,5.5,1,1,14.0,0,2200.0,1,0,1,0,1,0,0,1,0,0
150,0,46.67,0.46,0.415,1,1,11.0,1,6.0,1,0,1,0,1,0,0,1,0,0
151,0,58.33,10.0,4.0,1,1,14.0,0,1602.0,1,0,1,0,1,0,0,1,0,0
152,1,37.33,6.5,4.25,1,1,12.0,1,0.0,1,0,1,0,1,0,0,1,0,0
153,1,23.08,2.5,1.085,1,1,11.0,1,2184.0,1,0,1,0,1,0,0,1,0,0
154,1,32.75,1.5,5.5,1,1,3.0,1,0.0,1,0,1,0,1,0,0,1,0,0
155,0,21.67,11.5,0.0,1,1,11.0,1,0.0,1,0,0,1,0,0,1,1,0,0
156,0,28.5,3.04,2.54,1,1,1.0,0,0.0,1,0,0,1,0,0,1,1,0,0
157,0,68.67,15.0,0.0,1,1,14.0,0,3376.0,1,0,1,0,1,0,0,1,0,0
158,1,28.0,2.0,4.165,1,1,2.0,1,0.0,1,0,1,0,1,0,0,1,0,0
159,1,34.08,0.08,0.04,1,1,1.0,1,2000.0,1,0,0,1,0,0,1,1,0,0
160,1,27.67,2.0,1.0,1,1,4.0,0,7544.0,1,0,1,0,1,0,0,1,0,0
161,1,44.0,2.0,1.75,1,1,2.0,1,15.0,1,0,1,0,1,0,0,1,0,0
162,1,25.08,1.71,1.665,1,1,1.0,1,20.0,1,0,1,0,1,0,0,1,0,0
163,1,32.0,1.75,0.04,1,0,0.0,1,0.0,1,0,0,1,0,0,1,1,0,0
164,0,60.58,16.5,11.0,1,0,0.0,1,10561.0,1,0,1,0,1,0,0,1,0,0
165,0,40.83,10.0,1.75,1,0,0.0,0,837.0,1,0,1,0,1,0,0,1,0,0
166,1,19.33,9.5,1.0,1,0,0.0,1,400.0,1,0,1,0,1,0,0,1,0,0
167,0,32.33,0.54,0.04,1,0,0.0,0,11177.0,1,0,1,0,1,0,0,1,0,0
168,1,36.67,3.25,9.0,1,0,0.0,1,639.0,1,0,1,0,1,0,0,1,0,0
169,1,37.5,1.125,1.5,0,0,0.0,1,0.0,1,0,0,1,0,0,1,1,0,0
170,0,25.08,2.54,0.25,1,0,0.0,1,0.0,1,0,0,1,0,0,1,1,0,0
171,1,41.33,0.0,15.0,1,0,0.0,0,0.0,1,0,1,0,1,0,0,1,0,0
172,1,56.0,12.5,8.0,1,0,0.0,1,2028.0,1,0,1,0,1,0,0,1,0,0
173,0,49.83,13.585,8.5,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
174,1,22.67,10.5,1.335,1,0,0.0,0,0.0,1,0,1,0,1,0,0,1,0,0
175,1,27.0,1.5,0.375,1,0,0.0,1,1065.0,1,0,0,1,0,0,1,1,0,0
176,1,25.0,12.5,3.0,1,0,0.0,1,0.0,1,0,1,0,1,0,0,0,0,1
177,0,26.08,8.665,1.415,1,0,0.0,0,150.0,1,0,1,0,1,0,0,1,0,0
178,0,18.42,9.25,1.21,1,1,4.0,0,540.0,1,0,1,0,1,0,0,1,0,0
179,1,20.17,8.17,1.96,1,1,14.0,0,158.0,1,0,1,0,1,0,0,1,0,0
180,1,47.67,0.29,15.0,1,1,20.0,0,15000.0,1,0,1,0,1,0,0,1,0,0
181,0,21.25,2.335,0.5,1,1,4.0,0,0.0,1,0,1,0,1,0,0,0,0,1
182,0,20.67,3.0,0.165,1,1,3.0,0,6.0,1,0,1,0,1,0,0,1,0,0
183,0,57.08,19.5,5.5,1,1,7.0,0,3000.0,1,0,1,0,1,0,0,1,0,0
184,0,22.42,5.665,2.585,1,1,7.0,0,3257.0,1,0,1,0,1,0,0,1,0,0
185,1,48.75,8.5,12.5,1,1,9.0,0,1655.0,1,0,1,0,1,0,0,1,0,0
186,1,40.0,6.5,3.5,1,1,1.0,0,500.0,1,0,1,0,1,0,0,1,0,0
187,1,40.58,5.0,5.0,1,1,7.0,0,3065.0,1,0,1,0,1,0,0,1,0,0
188,0,28.67,1.04,2.5,1,1,5.0,1,1430.0,1,0,1,0,1,0,0,1,0,0
189,0,33.08,4.625,1.625,1,1,2.0,0,0.0,1,0,1,0,1,0,0,1,0,0
190,1,21.33,10.5,3.0,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
191,1,42.0,0.205,5.125,1,0,0.0,0,0.0,1,0,1,0,1,0,0,1,0,0
192,1,41.75,0.96,2.5,1,0,0.0,0,600.0,1,0,1,0,1,0,0,1,0,0
193,1,22.67,1.585,3.085,1,1,6.0,0,0.0,1,0,0,1,0,0,1,1,0,0
194,1,34.5,4.04,8.5,1,1,7.0,1,0.0,1,0,0,1,0,0,1,1,0,0
195,1,28.25,5.04,1.5,1,1,8.0,1,7.0,1,0,0,1,0,0,1,1,0,0
196,1,33.17,3.165,3.165,1,1,3.0,1,0.0,1,0,0,1,0,0,1,1,0,0
197,1,48.17,7.625,15.5,1,1,12.0,0,790.0,1,0,1,0,1,0,0,1,0,0
198,1,27.58,2.04,2.0,1,1,3.0,1,560.0,1,0,0,1,0,0,1,1,0,0
199,1,22.58,10.04,0.04,1,1,9.0,0,396.0,1,0,1,0,1,0,0,1,0,0
200,0,24.08,0.5,1.25,1,1,1.0,0,678.0,1,0,1,0,1,0,0,1,0,0
201,0,41.33,1.0,2.25,1,0,0.0,1,300.0,1,0,1,0,1,0,0,1,0,0
202,1,24.83,2.75,2.25,1,1,6.0,0,600.0,1,0,1,0,1,0,0,1,0,0
203,0,20.75,10.25,0.71,1,1,2.0,1,0.0,1,0,1,0,1,0,0,1,0,0
204,1,36.33,2.125,0.085,1,1,1.0,0,1187.0,1,0,0,1,0,0,1,1,0,0
205,0,35.42,12.0,14.0,1,1,8.0,0,6590.0,1,0,1,0,1,0,0,1,0,0
206,0,71.58,0.0,0.0,0,0,0.0,0,0.0,1,0,1,0,1,0,0,0,1,0
207,1,28.67,9.335,5.665,1,1,6.0,0,168.0,1,0,1,0,1,0,0,1,0,0
208,1,35.17,2.5,4.5,1,1,7.0,0,1270.0,1,0,1,0,1,0,0,1,0,0
209,1,39.5,4.25,6.5,1,1,16.0,0,1210.0,1,0,1,0,1,0,0,1,0,0
210,1,39.33,5.875,10.0,1,1,14.0,1,0.0,1,0,1,0,1,0,0,1,0,0
211,1,24.33,6.625,5.5,1,0,0.0,1,0.0,1,0,0,1,0,0,1,0,0,1
212,1,60.08,14.5,18.0,1,1,15.0,1,1000.0,1,0,1,0,1,0,0,1,0,0
213,1,23.08,11.5,3.5,1,1,9.0,0,742.0,1,0,1,0,1,0,0,1,0,0
214,1,26.67,2.71,5.25,1,1,1.0,0,0.0,1,0,0,1,0,0,1,1,0,0
215,1,48.17,3.5,3.5,1,0,0.0,0,0.0,1,0,1,0,1,0,0,0,0,1
216,1,41.17,4.04,7.0,1,1,8.0,0,0.0,1,0,1,0,1,0,0,1,0,0
217,1,55.92,11.5,5.0,1,1,5.0,0,8851.0,1,0,1,0,1,0,0,1,0,0
218,1,53.92,9.625,8.665,1,1,5.0,0,0.0,1,0,1,0,1,0,0,1,0,0
219,0,18.92,9.25,1.0,1,1,4.0,1,500.0,1,0,0,1,0,0,1,1,0,0
220,0,50.08,12.54,2.29,1,1,3.0,1,0.0,1,0,1,0,1,0,0,1,0,0
221,1,65.42,11.0,20.0,1,1,7.0,1,0.0,1,0,1,0,1,0,0,1,0,0
222,0,17.58,9.0,1.375,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
223,0,18.83,9.54,0.085,1,0,0.0,0,0.0,1,0,1,0,1,0,0,1,0,0
224,0,37.75,5.5,0.125,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
225,1,23.25,4.0,0.25,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
226,1,18.08,5.5,0.5,1,0,0.0,0,0.0,1,0,1,0,1,0,0,1,0,0
227,0,22.5,8.46,2.46,0,0,0.0,0,0.0,1,0,0,1,0,0,1,1,0,0
228,1,19.67,0.375,2.0,1,1,2.0,1,0.0,1,0,1,0,1,0,0,1,0,0
229,1,22.08,11.0,0.665,1,0,0.0,0,0.0,1,0,1,0,1,0,0,1,0,0
230,1,25.17,3.5,0.625,1,1,7.0,0,7059.0,1,0,1,0,1,0,0,1,0,0
231,0,47.42,3.0,13.875,1,1,2.0,1,1704.0,1,0,1,0,1,0,0,1,0,0
232,1,33.5,1.75,4.5,1,1,4.0,1,857.0,1,0,1,0,1,0,0,1,0,0
233,1,27.67,13.75,5.75,1,0,0.0,1,500.0,1,0,1,0,1,0,0,1,0,0
234,0,58.42,21.0,10.0,1,1,13.0,0,6700.0,1,0,1,0,1,0,0,1,0,0
235,0,20.67,1.835,2.085,1,1,5.0,0,2503.0,1,0,1,0,1,0,0,1,0,0
236,1,26.17,0.25,0.0,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
237,1,21.33,7.5,1.415,1,1,1.0,0,9800.0,1,0,1,0,1,0,0,1,0,0
238,1,42.83,4.625,4.58,1,0,0.0,0,0.0,1,0,1,0,1,0,0,0,0,1
239,1,38.17,10.125,2.5,1,1,6.0,0,196.0,1,0,1,0,1,0,0,1,0,0
240,1,20.5,10.0,2.5,1,0,0.0,0,0.0,1,0,0,1,0,0,1,0,0,1
241,1,48.25,25.085,1.75,1,1,3.0,0,14.0,1,0,1,0,1,0,0,1,0,0
242,1,28.33,5.0,11.0,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
243,0,18.75,7.5,2.71,1,1,5.0,0,26726.0,1,0,1,0,1,0,0,1,0,0
244,1,18.5,2.0,1.5,1,1,2.0,0,300.0,1,0,1,0,1,0,0,1,0,0
245,1,33.17,3.04,2.04,1,1,1.0,1,18027.0,1,0,0,1,0,0,1,1,0,0
246,1,45.0,8.5,14.0,1,1,1.0,1,2000.0,1,0,1,0,1,0,0,1,0,0
247,0,19.67,0.21,0.29,1,1,11.0,0,99.0,1,0,1,0,1,0,0,1,0,0
248,0,24.5,12.75,4.75,1,1,2.0,0,444.0,1,0,1,0,1,0,0,1,0,0
249,1,21.83,11.0,0.29,1,1,6.0,0,0.0,1,0,1,0,1,0,0,1,0,0
250,1,40.25,21.5,20.0,1,1,11.0,0,1200.0,1,0,1,0,1,0,0,1,0,0
251,1,41.42,5.0,5.0,1,1,6.0,1,0.0,1,0,1,0,1,0,0,1,0,0
252,0,17.83,11.0,1.0,1,1,11.0,0,3000.0,1,0,1,0,1,0,0,1,0,0
253,1,23.17,11.125,0.46,1,1,1.0,0,0.0,1,0,1,0,1,0,0,1,0,0
254,1,28.80111607395003,0.625,0.25,0,0,0.0,0,2010.0,0,0,1,0,1,0,0,1,0,0
255,1,18.17,10.25,1.085,0,0,0.0,0,13.0,0,0,1,0,1,0,0,1,0,0
256,1,20.0,11.045,2.0,0,0,0.0,1,0.0,0,0,1,0,1,0,0,1,0,0
257,1,20.0,0.0,0.5,0,0,0.0,0,0.0,0,0,1,0,1,0,0,1,0,0
258,0,20.75,9.54,0.04,0,0,0.0,0,1000.0,0,0,1,0,1,0,0,1,0,0
259,0,24.5,1.75,0.165,0,0,0.0,0,0.0,0,0,0,1,0,0,1,1,0,0
260,1,32.75,2.335,5.75,0,0,0.0,1,0.0,0,0,1,0,1,0,0,1,0,0
261,0,52.17,0.0,0.0,0,0,0.0,0,0.0,0,0,0,1,0,0,1,1,0,0
262,0,48.17,1.335,0.335,0,0,0.0,0,120.0,0,0,1,0,1,0,0,1,0,0
263,0,20.42,10.5,0.0,0,0,0.0,1,32.0,0,0,0,1,0,0,1,1,0,0
264,1,50.75,0.585,0.0,0,0,0.0,0,0.0,0,0,1,0,1,0,0,1,0,0
265,1,17.08,0.085,0.04,0,0,0.0,0,722.0,0,0,0,1,0,0,1,1,0,0
266,1,18.33,1.21,0.0,0,0,0.0,0,0.0,0,0,0,1,0,0,1,1,0,0
267,0,32.0,6.0,1.25,0,0,0.0,0,0.0,0,0,1,0,1,0,0,1,0,0
268,1,59.67,1.54,0.125,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
269,1,18.0,0.165,0.21,0,0,0.0,0,40.0,1,0,1,0,1,0,0,1,0,0
270,1,37.58,0.0,0.0,0,0,0.0,0,0.0,1,0,1,0,1,0,0,0,1,0
271,1,32.33,2.5,1.25,0,0,0.0,1,0.0,0,0,1,0,1,0,0,1,0,0
272,1,18.08,6.75,0.04,0,0,0.0,0,0.0,0,0,0,1,0,0,1,1,0,0
